German Pop,
Year,Population
1830,71375
1840,82736
1843,90055
1846,94830
1849,96398
1852,106715
1855,132112
1858,137095
1861,148201
1864,167054
1867,170688
1871,169693
1875,193024
1880,230023
1885,261981
1890,349024
1895,407307
1905,499959
1910,509067
1913,596467
1916,594096
1917,595002
1919,630711
1925,680704
1933,735388
1939,829318
1946,751967
1950,831937
1956,962860
1961,1085014
1970,1293590
1987,1185421
1990,1229026
1991,1229052
1992,1256638
1993,1255623
1994,1244676
1995,1236370
1996,1225809
1997,1205923
1998,1188897
1999,1194560
2000,1210223
2001,1227958
2002,1234692
2003,1247873
2004,1249176
2005,1294608
2006,1294608
2007,1305525
